Epochs,Batch_Size,Learning_Rate,Filters,Best_Val_Accuracy,Model_Path
5,2,0.0001,"[8, 16, 32, 64, 128]",0.8362777233123779,models/UNet_e5_bs2_lr0.0001_f8_16_32_64_128.keras
5,2,0.0001,"[16, 32, 64, 128, 256]",0.9278858304023743,models/UNet_e5_bs2_lr0.0001_f16_32_64_128_256.keras
5,2,0.0001,"[32, 64, 128, 256, 512]",0.9364386796951294,models/UNet_e5_bs2_lr0.0001_f32_64_128_256_512.keras
5,2,0.001,"[8, 16, 32, 64, 128]",0.95965576171875,models/UNet_e5_bs2_lr0.001_f8_16_32_64_128.keras
5,2,0.001,"[16, 32, 64, 128, 256]",0.9439166188240051,models/UNet_e5_bs2_lr0.001_f16_32_64_128_256.keras
5,2,0.001,"[32, 64, 128, 256, 512]",0.9427049160003662,models/UNet_e5_bs2_lr0.001_f32_64_128_256_512.keras
5,2,0.01,"[8, 16, 32, 64, 128]",0.8954151272773743,models/UNet_e5_bs2_lr0.01_f8_16_32_64_128.keras
5,2,0.01,"[16, 32, 64, 128, 256]",0.9197274446487427,models/UNet_e5_bs2_lr0.01_f16_32_64_128_256.keras
5,2,0.01,"[32, 64, 128, 256, 512]",0.8355351090431213,models/UNet_e5_bs2_lr0.01_f32_64_128_256_512.keras
5,8,0.0001,"[8, 16, 32, 64, 128]",0.8360951542854309,models/UNet_e5_bs8_lr0.0001_f8_16_32_64_128.keras
5,8,0.0001,"[16, 32, 64, 128, 256]",0.8360951542854309,models/UNet_e5_bs8_lr0.0001_f16_32_64_128_256.keras
5,8,0.0001,"[32, 64, 128, 256, 512]",0.8476613163948059,models/UNet_e5_bs8_lr0.0001_f32_64_128_256_512.keras
5,8,0.001,"[8, 16, 32, 64, 128]",0.8360951542854309,models/UNet_e5_bs8_lr0.001_f8_16_32_64_128.keras
5,8,0.001,"[16, 32, 64, 128, 256]",0.9410426020622253,models/UNet_e5_bs8_lr0.001_f16_32_64_128_256.keras
5,8,0.001,"[32, 64, 128, 256, 512]",0.9386100769042969,models/UNet_e5_bs8_lr0.001_f32_64_128_256_512.keras
5,8,0.01,"[8, 16, 32, 64, 128]",0.9165942072868347,models/UNet_e5_bs8_lr0.01_f8_16_32_64_128.keras
5,8,0.01,"[16, 32, 64, 128, 256]",0.8360951542854309,models/UNet_e5_bs8_lr0.01_f16_32_64_128_256.keras
5,8,0.01,"[32, 64, 128, 256, 512]",0.862396240234375,models/UNet_e5_bs8_lr0.01_f32_64_128_256_512.keras
5,16,0.0001,"[8, 16, 32, 64, 128]",0.8360875248908997,models/UNet_e5_bs16_lr0.0001_f8_16_32_64_128.keras
